plan_id,plan_name,intensity,focus_area,total_duration_min,est_calories,exercises_json
112,Light Cardio Plan #112,light,cardio,81,805,"[{""name"": ""Cycling (steady)"", ""type"": ""cardio"", ""primary"": ""legs"", ""intensity_score"": 2, ""duration_min"": 20, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 160, ""note"": """"}, {""name"": ""Step-ups"", ""type"": ""strength"", ""primary"": ""legs"", ""intensity_score"": 2, ""duration_min"": 5, ""sets"": 2, ""reps"": 20, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 60, ""est_calories"": 30, ""note"": """"}, {""name"": ""Burpees"", ""type"": ""cardio_strength"", ""primary"": ""fullbody"", ""intensity_score"": 3, ""duration_min"": 45, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 540, ""note"": """"}, {""name"": ""Kettlebell Swings"", ""type"": ""strength_cardio"", ""primary"": ""fullbody"", ""intensity_score"": 3, ""duration_min"": 6, ""sets"": 3, ""reps"": 20, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 60, ""est_calories"": 60, ""note"": """"}, {""name"": ""Chair Squats"", ""type"": ""strength"", ""primary"": ""legs"", ""intensity_score"": 1, ""duration_min"": 5, ""sets"": 2, ""reps"": 12, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 60, ""est_calories"": 15, ""note"": """"}]"
113,Moderate Fullbody Plan #113,moderate,fullbody,67,619,"[{""name"": ""TRX Rows"", ""type"": ""strength"", ""primary"": ""back"", ""intensity_score"": 2, ""duration_min"": 5, ""sets"": 3, ""reps"": 12, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 90, ""est_calories"": 35, ""note"": """"}, {""name"": ""Lunges"", ""type"": ""strength"", ""primary"": ""legs"", ""intensity_score"": 2, ""duration_min"": 8, ""sets"": 4, ""reps"": 8, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 120, ""est_calories"": 48, ""note"": """"}, {""name"": ""Plank"", ""type"": ""core"", ""primary"": ""core"", ""intensity_score"": 2, ""duration_min"": 9, ""sets"": 4, ""reps"": 10, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 120, ""est_calories"": 36, ""note"": """"}, {""name"": ""Dumbbell Shoulder Press"", ""type"": ""strength"", ""primary"": ""shoulders"", ""intensity_score"": 2, ""duration_min"": 5, ""sets"": 3, ""reps"": 10, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 60, ""est_calories"": 35, ""note"": """"}, {""name"": ""Deadlift (heavy)"", ""type"": ""strength"", ""primary"": ""fullbody"", ""intensity_score"": 3, ""duration_min"": 5, ""sets"": 3, ""reps"": 12, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 90, ""est_calories"": 45, ""note"": """"}, {""name"": ""Battle Rope Slams"", ""type"": ""cardio_strength"", ""primary"": ""upper"", ""intensity_score"": 3, ""duration_min"": 35, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 420, ""note"": """"}]"
114,Light Shoulders Plan #114,light,shoulders,130,1420,"[{""name"": ""Battle Rope Slams"", ""type"": ""cardio_strength"", ""primary"": ""upper"", ""intensity_score"": 3, ""duration_min"": 20, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 240, ""note"": """"}, {""name"": ""Burpees"", ""type"": ""cardio_strength"", ""primary"": ""fullbody"", ""intensity_score"": 3, ""duration_min"": 45, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 540, ""note"": """"}, {""name"": ""High Knees"", ""type"": ""cardio"", ""primary"": ""fullbody"", ""intensity_score"": 3, ""duration_min"": 40, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 440, ""note"": """"}, {""name"": ""Bodyweight Calisthenics (easy)"", ""type"": ""strength"", ""primary"": ""fullbody"", ""intensity_score"": 1, ""duration_min"": 5, ""sets"": 2, ""reps"": 15, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 30, ""est_calories"": 20, ""note"": """"}, {""name"": ""Battle Rope Waves (steady)"", ""type"": ""cardio_strength"", ""primary"": ""upper"", ""intensity_score"": 2, ""duration_min"": 20, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 180, ""note"": """"}]"
115,Intense Chest Plan #115,intense,chest,42,293,"[{""name"": ""Deadlift (heavy)"", ""type"": ""strength"", ""primary"": ""fullbody"", ""intensity_score"": 3, ""duration_min"": 7, ""sets"": 5, ""reps"": 10, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 60, ""est_calories"": 63, ""note"": """"}, {""name"": ""Mountain Climbers"", ""type"": ""cardio_core"", ""primary"": ""core"", ""intensity_score"": 3, ""duration_min"": 7, ""sets"": null, ""reps"": null, ""format"": ""intervals"", ""rounds"": 8, ""work_sec"": 40, ""rest_sec"": 15, ""est_calories"": 77, ""note"": """"}, {""name"": ""Farmer's Carry"", ""type"": ""strength"", ""primary"": ""grip"", ""intensity_score"": 2, ""duration_min"": 9, ""sets"": 5, ""reps"": 8, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 90, ""est_calories"": 54, ""note"": """"}, {""name"": ""Elliptical (steady)"", ""type"": ""cardio"", ""primary"": ""legs"", ""intensity_score"": 2, ""duration_min"": 6, ""sets"": null, ""reps"": null, ""format"": ""intervals"", ""rounds"": 12, ""work_sec"": 20, ""rest_sec"": 10, ""est_calories"": 42, ""note"": """"}, {""name"": ""Brisk Walk"", ""type"": ""cardio_low"", ""primary"": ""legs"", ""intensity_score"": 1, ""duration_min"": 8, ""sets"": null, ""reps"": null, ""format"": ""intervals"", ""rounds"": 10, ""work_sec"": 30, ""rest_sec"": 20, ""est_calories"": 32, ""note"": """"}, {""name"": ""Light Rowing"", ""type"": ""cardio_low"", ""primary"": ""fullbody"", ""intensity_score"": 1, ""duration_min"": 5, ""sets"": null, ""reps"": null, ""format"": ""intervals"", ""rounds"": 6, ""work_sec"": 30, ""rest_sec"": 20, ""est_calories"": 25, ""note"": """"}]"
116,Intense Core Plan #116,intense,core,42,425,"[{""name"": ""Bench Press (heavy)"", ""type"": ""strength"", ""primary"": ""chest"", ""intensity_score"": 3, ""duration_min"": 8, ""sets"": 5, ""reps"": 6, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 90, ""est_calories"": 64, ""note"": """"}, {""name"": ""Deadlift (heavy)"", ""type"": ""strength"", ""primary"": ""fullbody"", ""intensity_score"": 3, ""duration_min"": 6, ""sets"": 4, ""reps"": 10, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 60, ""est_calories"": 54, ""note"": """"}, {""name"": ""Box Jumps"", ""type"": ""plyometric"", ""primary"": ""legs"", ""intensity_score"": 3, ""duration_min"": 9, ""sets"": 5, ""reps"": 10, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 90, ""est_calories"": 99, ""note"": """"}, {""name"": ""Squat Jumps"", ""type"": ""plyometric"", ""primary"": ""legs"", ""intensity_score"": 3, ""duration_min"": 5, ""sets"": 4, ""reps"": 4, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 60, ""est_calories"": 55, ""note"": """"}, {""name"": ""Push-ups (explosive)"", ""type"": ""strength"", ""primary"": ""chest"", ""intensity_score"": 3, ""duration_min"": 5, ""sets"": 4, ""reps"": 6, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 60, ""est_calories"": 45, ""note"": """"}, {""name"": ""Burpees"", ""type"": ""cardio_strength"", ""primary"": ""fullbody"", ""intensity_score"": 3, ""duration_min"": 4, ""sets"": null, ""reps"": null, ""format"": ""intervals"", ""rounds"": 6, ""work_sec"": 20, ""rest_sec"": 20, ""est_calories"": 48, ""note"": """"}, {""name"": ""Cycling (HIIT)"", ""type"": ""cardio"", ""primary"": ""legs"", ""intensity_score"": 3, ""duration_min"": 5, ""sets"": null, ""reps"": null, ""format"": ""intervals"", ""rounds"": 10, ""work_sec"": 20, ""rest_sec"": 10, ""est_calories"": 60, ""note"": """"}]"
117,Light Mobility Plan #117,light,mobility,37,320,"[{""name"": ""Battle Rope Slams"", ""type"": ""cardio_strength"", ""primary"": ""upper"", ""intensity_score"": 3, ""duration_min"": 20, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 240, ""note"": """"}, {""name"": ""Step-ups"", ""type"": ""strength"", ""primary"": ""legs"", ""intensity_score"": 2, ""duration_min"": 6, ""sets"": 3, ""reps"": 20, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 60, ""est_calories"": 36, ""note"": """"}, {""name"": ""Glute Bridges"", ""type"": ""strength"", ""primary"": ""glutes"", ""intensity_score"": 1, ""duration_min"": 5, ""sets"": 3, ""reps"": 15, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 60, ""est_calories"": 20, ""note"": """"}, {""name"": ""Bodyweight Calisthenics (easy)"", ""type"": ""strength"", ""primary"": ""fullbody"", ""intensity_score"": 1, ""duration_min"": 6, ""sets"": 3, ""reps"": 20, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 60, ""est_calories"": 24, ""note"": """"}]"
118,Moderate Back Plan #118,moderate,back,87,710,"[{""name"": ""Battle Rope Waves (steady)"", ""type"": ""cardio_strength"", ""primary"": ""upper"", ""intensity_score"": 2, ""duration_min"": 20, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 180, ""note"": """"}, {""name"": ""Elliptical (steady)"", ""type"": ""cardio"", ""primary"": ""legs"", ""intensity_score"": 2, ""duration_min"": 30, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 210, ""note"": """"}, {""name"": ""Farmer's Carry"", ""type"": ""strength"", ""primary"": ""grip"", ""intensity_score"": 2, ""duration_min"": 5, ""sets"": 3, ""reps"": 12, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 90, ""est_calories"": 30, ""note"": """"}, {""name"": ""Thrusters"", ""type"": ""strength"", ""primary"": ""fullbody"", ""intensity_score"": 3, ""duration_min"": 5, ""sets"": 3, ""reps"": 10, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 90, ""est_calories"": 55, ""note"": """"}, {""name"": ""Kettlebell Swings"", ""type"": ""strength_cardio"", ""primary"": ""fullbody"", ""intensity_score"": 3, ""duration_min"": 7, ""sets"": 4, ""reps"": 8, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 90, ""est_calories"": 70, ""note"": """"}, {""name"": ""Jumping Jacks"", ""type"": ""cardio"", ""primary"": ""fullbody"", ""intensity_score"": 3, ""duration_min"": 15, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 150, ""note"": """"}, {""name"": ""Pilates Mat"", ""type"": ""mobility_core"", ""primary"": ""core"", ""intensity_score"": 1, ""duration_min"": 5, ""sets"": 4, ""reps"": 8, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 60, ""est_calories"": 15, ""note"": """"}]"
119,Moderate Back Plan #119,moderate,back,57,555,"[{""name"": ""Lunges"", ""type"": ""strength"", ""primary"": ""legs"", ""intensity_score"": 2, ""duration_min"": 7, ""sets"": 4, ""reps"": 10, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 90, ""est_calories"": 42, ""note"": """"}, {""name"": ""Sprint Intervals"", ""type"": ""cardio"", ""primary"": ""legs"", ""intensity_score"": 3, ""duration_min"": 30, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 390, ""note"": """"}, {""name"": ""Plank"", ""type"": ""core"", ""primary"": ""core"", ""intensity_score"": 2, ""duration_min"": 7, ""sets"": 4, ""reps"": 10, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 90, ""est_calories"": 28, ""note"": """"}, {""name"": ""Medicine Ball Slams"", ""type"": ""power"", ""primary"": ""fullbody"", ""intensity_score"": 3, ""duration_min"": 8, ""sets"": 4, ""reps"": 8, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 120, ""est_calories"": 80, ""note"": """"}, {""name"": ""Pilates Mat"", ""type"": ""mobility_core"", ""primary"": ""core"", ""intensity_score"": 1, ""duration_min"": 5, ""sets"": 3, ""reps"": 10, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 60, ""est_calories"": 15, ""note"": """"}]"
120,Light Upper Plan #120,light,upper,115,1250,"[{""name"": ""Pilates Mat"", ""type"": ""mobility_core"", ""primary"": ""core"", ""intensity_score"": 1, ""duration_min"": 5, ""sets"": 3, ""reps"": 12, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 30, ""est_calories"": 15, ""note"": """"}, {""name"": ""Step-ups"", ""type"": ""strength"", ""primary"": ""legs"", ""intensity_score"": 2, ""duration_min"": 5, ""sets"": 3, ""reps"": 15, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 60, ""est_calories"": 30, ""note"": """"}, {""name"": ""Battle Rope Slams"", ""type"": ""cardio_strength"", ""primary"": ""upper"", ""intensity_score"": 3, ""duration_min"": 30, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 360, ""note"": """"}, {""name"": ""Rowing Machine (intense)"", ""type"": ""cardio"", ""primary"": ""fullbody"", ""intensity_score"": 3, ""duration_min"": 30, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 330, ""note"": """"}, {""name"": ""Burpees"", ""type"": ""cardio_strength"", ""primary"": ""fullbody"", ""intensity_score"": 3, ""duration_min"": 40, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 480, ""note"": """"}, {""name"": ""Incline Push-ups"", ""type"": ""strength"", ""primary"": ""chest"", ""intensity_score"": 2, ""duration_min"": 5, ""sets"": 3, ""reps"": 20, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 30, ""est_calories"": 35, ""note"": """"}]"
121,Moderate Shoulders Plan #121,moderate,shoulders,60,559,"[{""name"": ""Step-ups"", ""type"": ""strength"", ""primary"": ""legs"", ""intensity_score"": 2, ""duration_min"": 7, ""sets"": 4, ""reps"": 10, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 90, ""est_calories"": 42, ""note"": """"}, {""name"": ""Farmer's Carry"", ""type"": ""strength"", ""primary"": ""grip"", ""intensity_score"": 2, ""duration_min"": 6, ""sets"": 3, ""reps"": 12, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 120, ""est_calories"": 36, ""note"": """"}, {""name"": ""Squat Jumps"", ""type"": ""plyometric"", ""primary"": ""legs"", ""intensity_score"": 3, ""duration_min"": 8, ""sets"": 4, ""reps"": 8, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 120, ""est_calories"": 88, ""note"": """"}, {""name"": ""TRX Rows"", ""type"": ""strength"", ""primary"": ""back"", ""intensity_score"": 2, ""duration_min"": 9, ""sets"": 4, ""reps"": 12, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 120, ""est_calories"": 63, ""note"": """"}, {""name"": ""Battle Rope Slams"", ""type"": ""cardio_strength"", ""primary"": ""upper"", ""intensity_score"": 3, ""duration_min"": 25, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 300, ""note"": """"}, {""name"": ""Bodyweight Squats"", ""type"": ""strength"", ""primary"": ""legs"", ""intensity_score"": 2, ""duration_min"": 5, ""sets"": 4, ""reps"": 8, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 60, ""est_calories"": 30, ""note"": """"}]"
122,Moderate Fullbody Plan #122,moderate,fullbody,114,735,"[{""name"": ""Farmer's Carry"", ""type"": ""strength"", ""primary"": ""grip"", ""intensity_score"": 2, ""duration_min"": 5, ""sets"": 4, ""reps"": 8, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 60, ""est_calories"": 30, ""note"": """"}, {""name"": ""Cycling (steady)"", ""type"": ""cardio"", ""primary"": ""legs"", ""intensity_score"": 2, ""duration_min"": 35, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 280, ""note"": """"}, {""name"": ""Light Cycling"", ""type"": ""cardio_low"", ""primary"": ""legs"", ""intensity_score"": 1, ""duration_min"": 30, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 150, ""note"": """"}, {""name"": ""Medicine Ball Slams"", ""type"": ""power"", ""primary"": ""fullbody"", ""intensity_score"": 3, ""duration_min"": 9, ""sets"": 4, ""reps"": 10, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 120, ""est_calories"": 90, ""note"": """"}, {""name"": ""Incline Push-ups"", ""type"": ""strength"", ""primary"": ""chest"", ""intensity_score"": 2, ""duration_min"": 5, ""sets"": 3, ""reps"": 8, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 90, ""est_calories"": 35, ""note"": """"}, {""name"": ""Light Rowing"", ""type"": ""cardio_low"", ""primary"": ""fullbody"", ""intensity_score"": 1, ""duration_min"": 30, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 150, ""note"": """"}]"
123,Moderate Shoulders Plan #123,moderate,shoulders,91,1021,"[{""name"": ""Battle Rope Waves (steady)"", ""type"": ""cardio_strength"", ""primary"": ""upper"", ""intensity_score"": 2, ""duration_min"": 15, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 135, ""note"": """"}, {""name"": ""Sprint on Treadmill"", ""type"": ""cardio"", ""primary"": ""legs"", ""intensity_score"": 3, ""duration_min"": 35, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 455, ""note"": """"}, {""name"": ""Jump Rope"", ""type"": ""cardio"", ""primary"": ""fullbody"", ""intensity_score"": 3, ""duration_min"": 30, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 360, ""note"": """"}, {""name"": ""Lunges"", ""type"": ""strength"", ""primary"": ""legs"", ""intensity_score"": 2, ""duration_min"": 6, ""sets"": 3, ""reps"": 10, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 120, ""est_calories"": 36, ""note"": """"}, {""name"": ""TRX Rows"", ""type"": ""strength"", ""primary"": ""back"", ""intensity_score"": 2, ""duration_min"": 5, ""sets"": 3, ""reps"": 8, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 60, ""est_calories"": 35, ""note"": """"}]"
124,Moderate Glutes Plan #124,moderate,glutes,76,731,"[{""name"": ""Deadlift (heavy)"", ""type"": ""strength"", ""primary"": ""fullbody"", ""intensity_score"": 3, ""duration_min"": 6, ""sets"": 4, ""reps"": 12, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 60, ""est_calories"": 54, ""note"": """"}, {""name"": ""Medicine Ball Slams"", ""type"": ""power"", ""primary"": ""fullbody"", ""intensity_score"": 3, ""duration_min"": 9, ""sets"": 4, ""reps"": 12, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 120, ""est_calories"": 90, ""note"": """"}, {""name"": ""Romanian Deadlift"", ""type"": ""strength"", ""primary"": ""hamstrings"", ""intensity_score"": 2, ""duration_min"": 7, ""sets"": 4, ""reps"": 8, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 90, ""est_calories"": 56, ""note"": """"}, {""name"": ""Plank"", ""type"": ""core"", ""primary"": ""core"", ""intensity_score"": 2, ""duration_min"": 9, ""sets"": 4, ""reps"": 10, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 120, ""est_calories"": 36, ""note"": """"}, {""name"": ""Rowing Machine (intense)"", ""type"": ""cardio"", ""primary"": ""fullbody"", ""intensity_score"": 3, ""duration_min"": 25, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 275, ""note"": """"}, {""name"": ""Mountain Climbers"", ""type"": ""cardio_core"", ""primary"": ""core"", ""intensity_score"": 3, ""duration_min"": 20, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 220, ""note"": """"}]"
125,Light Mobility Plan #125,light,mobility,52,503,"[{""name"": ""Pilates Mat"", ""type"": ""mobility_core"", ""primary"": ""core"", ""intensity_score"": 1, ""duration_min"": 5, ""sets"": 3, ""reps"": 15, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 30, ""est_calories"": 15, ""note"": """"}, {""name"": ""Medicine Ball Slams"", ""type"": ""power"", ""primary"": ""fullbody"", ""intensity_score"": 3, ""duration_min"": 5, ""sets"": 2, ""reps"": 20, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 60, ""est_calories"": 50, ""note"": """"}, {""name"": ""Resistance Band Work"", ""type"": ""strength"", ""primary"": ""varied"", ""intensity_score"": 1, ""duration_min"": 6, ""sets"": 3, ""reps"": 20, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 60, ""est_calories"": 24, ""note"": """"}, {""name"": ""Deadlift (heavy)"", ""type"": ""strength"", ""primary"": ""fullbody"", ""intensity_score"": 3, ""duration_min"": 6, ""sets"": 3, ""reps"": 20, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 60, ""est_calories"": 54, ""note"": """"}, {""name"": ""Burpees"", ""type"": ""cardio_strength"", ""primary"": ""fullbody"", ""intensity_score"": 3, ""duration_min"": 30, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 360, ""note"": """"}]"
126,Moderate Shoulders Plan #126,moderate,shoulders,160,1495,"[{""name"": ""Rowing Machine (intense)"", ""type"": ""cardio"", ""primary"": ""fullbody"", ""intensity_score"": 3, ""duration_min"": 25, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 275, ""note"": """"}, {""name"": ""High Knees"", ""type"": ""cardio"", ""primary"": ""fullbody"", ""intensity_score"": 3, ""duration_min"": 25, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 275, ""note"": """"}, {""name"": ""Step-ups"", ""type"": ""strength"", ""primary"": ""legs"", ""intensity_score"": 2, ""duration_min"": 5, ""sets"": 3, ""reps"": 12, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 90, ""est_calories"": 30, ""note"": """"}, {""name"": ""Light Cycling"", ""type"": ""cardio_low"", ""primary"": ""legs"", ""intensity_score"": 1, ""duration_min"": 35, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 175, ""note"": """"}, {""name"": ""Elliptical (steady)"", ""type"": ""cardio"", ""primary"": ""legs"", ""intensity_score"": 2, ""duration_min"": 15, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 105, ""note"": """"}, {""name"": ""Burpees"", ""type"": ""cardio_strength"", ""primary"": ""fullbody"", ""intensity_score"": 3, ""duration_min"": 35, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 420, ""note"": """"}, {""name"": ""TRX Rows"", ""type"": ""strength"", ""primary"": ""back"", ""intensity_score"": 2, ""duration_min"": 5, ""sets"": 3, ""reps"": 10, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 60, ""est_calories"": 35, ""note"": """"}, {""name"": ""Jump Rope"", ""type"": ""cardio"", ""primary"": ""fullbody"", ""intensity_score"": 3, ""duration_min"": 15, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 180, ""note"": """"}]"
127,Light Mobility Plan #127,light,mobility,125,1045,"[{""name"": ""Battle Ropes"", ""type"": ""cardio_strength"", ""primary"": ""upper"", ""intensity_score"": 3, ""duration_min"": 45, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 540, ""note"": """"}, {""name"": ""Light Rowing"", ""type"": ""cardio_low"", ""primary"": ""fullbody"", ""intensity_score"": 1, ""duration_min"": 40, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 200, ""note"": """"}, {""name"": ""Glute Bridges"", ""type"": ""strength"", ""primary"": ""glutes"", ""intensity_score"": 1, ""duration_min"": 5, ""sets"": 3, ""reps"": 12, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 60, ""est_calories"": 20, ""note"": """"}, {""name"": ""Battle Rope Waves (steady)"", ""type"": ""cardio_strength"", ""primary"": ""upper"", ""intensity_score"": 2, ""duration_min"": 30, ""sets"": null, ""reps"": null, ""format"": ""steady"", ""rounds"": null, ""work_sec"": null, ""rest_sec"": null, ""est_calories"": 270, ""note"": """"}, {""name"": ""Yoga Flow"", ""type"": ""mobility"", ""primary"": ""fullbody"", ""intensity_score"": 1, ""duration_min"": 5, ""sets"": 3, ""reps"": 12, ""format"": null, ""rounds"": null, ""work_sec"": null, ""rest_sec"": 60, ""est_calories"": 15, ""note"": """"}]"
